seccion,año,periodo,url
Marco Normativo de sujeto Obigado,2015,Año: 20153er. Trimestre4to. Trimestre,https://suemzit.site123.me/versions/2/include/external_redirect.php?websiteID=1222413&url=https%3A%2F%2Fstatic.s123-cdn-static-c.com%2Fuploads%2F1222413%2Fnormal_5b2026466b72e.pdf
Marco Normativo de sujeto Obigado,2015,3er. Trimestre,https://suemzit.site123.me/versions/2/include/external_redirect.php?websiteID=1222413&url=https%3A%2F%2Fstatic.s123-cdn-static-c.com%2Fuploads%2F1222413%2Fnormal_5b2026466b72e.pdf
Marco Normativo de sujeto Obigado,2015,4to. Trimestre,https://suemzit.site123.me/versions/2/include/external_redirect.php?websiteID=1222413&url=https%3A%2F%2Fstatic.s123-cdn-static-c.com%2Fuploads%2F1222413%2Fnormal_5b2030d79a519.pdf
Marco Normativo de sujeto Obigado,2015,Año: 20161er. Trimestre2do. Trimestre3er. Trimestre4to. Trimestre,https://suemzit.site123.me/versions/2/include/external_redirect.php?websiteID=1222413&url=https%3A%2F%2Fstatic.s123-cdn-static-c.com%2Fuploads%2F1222413%2Fnormal_5b2031711b123.pdf
Marco Normativo de sujeto Obigado,2015,1er. Trimestre,https://suemzit.site123.me/versions/2/include/external_redirect.php?websiteID=1222413&url=https%3A%2F%2Fstatic.s123-cdn-static-c.com%2Fuploads%2F1222413%2Fnormal_5b2031711b123.pdf
Marco Normativo de sujeto Obigado,2015,2do. Trimestre,https://suemzit.site123.me/versions/2/include/external_redirect.php?websiteID=1222413&url=https%3A%2F%2Fstatic.s123-cdn-static-c.com%2Fuploads%2F1222413%2Fnormal_5b2031b1b247e.pdf
Marco Normativo de sujeto Obigado,2015,3er. Trimestre,https://suemzit.site123.me/versions/2/include/external_redirect.php?websiteID=1222413&url=https%3A%2F%2Fstatic.s123-cdn-static-c.com%2Fuploads%2F1222413%2Fnormal_5b2031f6c4de8.pdf
Marco Normativo de sujeto Obigado,2015,4to. Trimestre,https://suemzit.site123.me/versions/2/include/external_redirect.php?websiteID=1222413&url=https%3A%2F%2Fstatic.s123-cdn-static-c.com%2Fuploads%2F1222413%2Fnormal_5b20323cddc7b.pdf
Marco Normativo de sujeto Obigado,2015,Año: 20171er. Trimestre,https://suemzit.site123.me/versions/2/include/external_redirect.php?websiteID=1222413&url=https%3A%2F%2Fstatic.s123-cdn-static-c.com%2Fuploads%2F1222413%2Fnormal_5b20328abe415.pdf
Marco Normativo de sujeto Obigado,2015,1er. Trimestre,https://suemzit.site123.me/versions/2/include/external_redirect.php?websiteID=1222413&url=https%3A%2F%2Fstatic.s123-cdn-static-c.com%2Fuploads%2F1222413%2Fnormal_5b20328abe415.pdf
Marco Normativo de sujeto Obigado,2015,3er. Trimestre,https://suemzit.site123.me/versions/2/include/external_redirect.php?websiteID=1222413&url=https%3A%2F%2Fstatic.s123-cdn-static-c.com%2Fuploads%2F1222413%2Fnormal_5b2026466b72e.pdf
Marco Normativo de sujeto Obigado,2015,4to. Trimestre,https://suemzit.site123.me/versions/2/include/external_redirect.php?websiteID=1222413&url=https%3A%2F%2Fstatic.s123-cdn-static-c.com%2Fuploads%2F1222413%2Fnormal_5b2030d79a519.pdf
Marco Normativo de sujeto Obigado,2016,1er. Trimestre,https://suemzit.site123.me/versions/2/include/external_redirect.php?websiteID=1222413&url=https%3A%2F%2Fstatic.s123-cdn-static-c.com%2Fuploads%2F1222413%2Fnormal_5b2031711b123.pdf
Marco Normativo de sujeto Obigado,2016,2do. Trimestre,https://suemzit.site123.me/versions/2/include/external_redirect.php?websiteID=1222413&url=https%3A%2F%2Fstatic.s123-cdn-static-c.com%2Fuploads%2F1222413%2Fnormal_5b2031b1b247e.pdf
Marco Normativo de sujeto Obigado,2016,3er. Trimestre,https://suemzit.site123.me/versions/2/include/external_redirect.php?websiteID=1222413&url=https%3A%2F%2Fstatic.s123-cdn-static-c.com%2Fuploads%2F1222413%2Fnormal_5b2031f6c4de8.pdf
Marco Normativo de sujeto Obigado,2016,4to. Trimestre,https://suemzit.site123.me/versions/2/include/external_redirect.php?websiteID=1222413&url=https%3A%2F%2Fstatic.s123-cdn-static-c.com%2Fuploads%2F1222413%2Fnormal_5b20323cddc7b.pdf
Marco Normativo de sujeto Obigado,2017,1er. Trimestre,https://suemzit.site123.me/versions/2/include/external_redirect.php?websiteID=1222413&url=https%3A%2F%2Fstatic.s123-cdn-static-c.com%2Fuploads%2F1222413%2Fnormal_5b20328abe415.pdf
Marco Normativo de sujeto Obigado,,3er. Trimestre,https://suemzit.site123.me/versions/2/include/external_redirect.php?websiteID=1222413&url=https%3A%2F%2Fstatic.s123-cdn-static-c.com%2Fuploads%2F1222413%2Fnormal_5b2026466b72e.pdf
Marco Normativo de sujeto Obigado,,4to. Trimestre,https://suemzit.site123.me/versions/2/include/external_redirect.php?websiteID=1222413&url=https%3A%2F%2Fstatic.s123-cdn-static-c.com%2Fuploads%2F1222413%2Fnormal_5b2030d79a519.pdf
Marco Normativo de sujeto Obigado,,1er. Trimestre,https://suemzit.site123.me/versions/2/include/external_redirect.php?websiteID=1222413&url=https%3A%2F%2Fstatic.s123-cdn-static-c.com%2Fuploads%2F1222413%2Fnormal_5b2031711b123.pdf
Marco Normativo de sujeto Obigado,,2do. Trimestre,https://suemzit.site123.me/versions/2/include/external_redirect.php?websiteID=1222413&url=https%3A%2F%2Fstatic.s123-cdn-static-c.com%2Fuploads%2F1222413%2Fnormal_5b2031b1b247e.pdf
Marco Normativo de sujeto Obigado,,3er. Trimestre,https://suemzit.site123.me/versions/2/include/external_redirect.php?websiteID=1222413&url=https%3A%2F%2Fstatic.s123-cdn-static-c.com%2Fuploads%2F1222413%2Fnormal_5b2031f6c4de8.pdf
Marco Normativo de sujeto Obigado,,4to. Trimestre,https://suemzit.site123.me/versions/2/include/external_redirect.php?websiteID=1222413&url=https%3A%2F%2Fstatic.s123-cdn-static-c.com%2Fuploads%2F1222413%2Fnormal_5b20323cddc7b.pdf
Marco Normativo de sujeto Obigado,,1er. Trimestre,https://suemzit.site123.me/versions/2/include/external_redirect.php?websiteID=1222413&url=https%3A%2F%2Fstatic.s123-cdn-static-c.com%2Fuploads%2F1222413%2Fnormal_5b20328abe415.pdf
